2025-09-09 17:41:06 remove gir1.2-soup-2.4:amd64 2.74.2-3ubuntu0.6 <none>
2025-09-09 17:41:06 status half-configured gir1.2-soup-2.4:amd64 2.74.2-3ubuntu0.6
2025-09-09 17:41:06 status half-installed gir1.2-soup-2.4:amd64 2.74.2-3ubuntu0.6
2025-09-09 17:41:06 status config-files gir1.2-soup-2.4:amd64 2.74.2-3ubuntu0.6
2025-09-09 17:41:06 status not-installed gir1.2-soup-2.4:amd64 <none>
2025-09-09 17:41:06 status installed gir1.2-totem-1.0:amd64 43.0-2ubuntu4
2025-09-09 17:41:06 remove gir1.2-totem-1.0:amd64 43.0-2ubuntu4 <none>
2025-09-09 17:41:06 status half-configured gir1.2-totem-1.0:amd64 43.0-2ubuntu4
2025-09-09 17:41:06 status half-installed gir1.2-totem-1.0:amd64 43.0-2ubuntu4
2025-09-09 17:41:06 status config-files gir1.2-totem-1.0:amd64 43.0-2ubuntu4
2025-09-09 17:41:06 status not-installed gir1.2-totem-1.0:amd64 <none>
2025-09-09 17:41:06 status installed gir1.2-totemplparser-1.0:amd64 3.26.6-1build5
2025-09-09 17:41:06 remove gir1.2-totemplparser-1.0:amd64 3.26.6-1build5 <none>
2025-09-09 17:41:06 status half-configured gir1.2-totemplparser-1.0:amd64 3.26.6-1build5
2025-09-09 17:41:06 status half-installed gir1.2-totemplparser-1.0:amd64 3.26.6-1build5
2025-09-09 17:41:06 status config-files gir1.2-totemplparser-1.0:amd64 3.26.6-1build5
2025-09-09 17:41:07 status not-installed gir1.2-totemplparser-1.0:amd64 <none>
2025-09-09 17:41:07 status installed irqbalance:amd64 1.9.3-2ubuntu5
2025-09-09 17:41:07 remove irqbalance:amd64 1.9.3-2ubuntu5 <none>
2025-09-09 17:41:07 status half-configured irqbalance:amd64 1.9.3-2ubuntu5
2025-09-09 17:41:07 status half-installed irqbalance:amd64 1.9.3-2ubuntu5
2025-09-09 17:41:07 status config-files irqbalance:amd64 1.9.3-2ubuntu5
2025-09-09 17:41:07 status installed libappstream4:amd64 0.15.2-2
2025-09-09 17:41:07 remove libappstream4:amd64 0.15.2-2 <none>
2025-09-09 17:41:07 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.5
2025-09-09 17:41:07 status half-configured libappstream4:amd64 0.15.2-2
2025-09-09 17:41:07 status half-installed libappstream4:amd64 0.15.2-2
2025-09-09 17:41:07 status config-files libappstream4:amd64 0.15.2-2
2025-09-09 17:41:08 status not-installed libappstream4:amd64 <none>
2025-09-09 17:41:08 status installed libboost-atomic1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 remove libboost-atomic1.74.0:amd64 1.74.0+ds1-23.1ubuntu3 <none>
2025-09-09 17:41:08 status half-configured libboost-atomic1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status half-installed libboost-atomic1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status config-files libboost-atomic1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status not-installed libboost-atomic1.74.0:amd64 <none>
2025-09-09 17:41:08 status installed libboost-date-time1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 remove libboost-date-time1.74.0:amd64 1.74.0+ds1-23.1ubuntu3 <none>
2025-09-09 17:41:08 status half-configured libboost-date-time1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status half-installed libboost-date-time1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status config-files libboost-date-time1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status not-installed libboost-date-time1.74.0:amd64 <none>
2025-09-09 17:41:08 status installed libboost-program-options1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 remove libboost-program-options1.74.0:amd64 1.74.0+ds1-23.1ubuntu3 <none>
2025-09-09 17:41:08 status half-configured libboost-program-options1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status half-installed libboost-program-options1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status config-files libboost-program-options1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status not-installed libboost-program-options1.74.0:amd64 <none>
2025-09-09 17:41:08 status installed libboost-system1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 remove libboost-system1.74.0:amd64 1.74.0+ds1-23.1ubuntu3 <none>
2025-09-09 17:41:08 status half-configured libboost-system1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status half-installed libboost-system1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status config-files libboost-system1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status not-installed libboost-system1.74.0:amd64 <none>
2025-09-09 17:41:08 status installed libboost-test1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 remove libboost-test1.74.0:amd64 1.74.0+ds1-23.1ubuntu3 <none>
2025-09-09 17:41:08 status half-configured libboost-test1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status half-installed libboost-test1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status config-files libboost-test1.74.0:amd64 1.74.0+ds1-23.1ubuntu3
2025-09-09 17:41:08 status not-installed libboost-test1.74.0:amd64 <none>
2025-09-09 17:41:08 status installed libbpf0:amd64 1:0.5.0-1ubuntu22.04.1
2025-09-09 17:41:08 remove libbpf0:amd64 1:0.5.0-1ubuntu22.04.1 <none>
2025-09-09 17:41:08 status half-configured libbpf0:amd64 1:0.5.0-1ubuntu22.04.1
2025-09-09 17:41:08 status half-installed libbpf0:amd64 1:0.5.0-1ubuntu22.04.1
2025-09-09 17:41:08 status config-files libbpf0:amd64 1:0.5.0-1ubuntu22.04.1
2025-09-09 17:41:08 status not-installed libbpf0:amd64 <none>
2025-09-09 17:41:08 status installed libcbor0.8:amd64 0.8.0-2ubuntu1
2025-09-09 17:41:08 remove libcbor0.8:amd64 0.8.0-2ubuntu1 <none>
2025-09-09 17:41:08 status half-configured libcbor0.8:amd64 0.8.0-2ubuntu1
2025-09-09 17:41:08 status half-installed libcbor0.8:amd64 0.8.0-2ubuntu1
2025-09-09 17:41:08 status config-files libcbor0.8:amd64 0.8.0-2ubuntu1
2025-09-09 17:41:08 status not-installed libcbor0.8:amd64 <none>
2025-09-09 17:41:08 status installed libcgi-fast-perl:all 1:2.17-1
2025-09-09 17:41:08 remove libcgi-fast-perl:all 1:2.17-1 <none>
2025-09-09 17:41:08 status half-configured libcgi-fast-perl:all 1:2.17-1
2025-09-09 17:41:08 status half-installed libcgi-fast-perl:all 1:2.17-1
2025-09-09 17:41:08 status config-files libcgi-fast-perl:all 1:2.17-1
2025-09-09 17:41:08 status not-installed libcgi-fast-perl:all <none>
2025-09-09 17:41:08 status installed libhtml-template-perl:all 2.97-2
2025-09-09 17:41:08 remove libhtml-template-perl:all 2.97-2 <none>
2025-09-09 17:41:08 status half-configured libhtml-template-perl:all 2.97-2
2025-09-09 17:41:08 status half-installed libhtml-template-perl:all 2.97-2
2025-09-09 17:41:08 status config-files libhtml-template-perl:all 2.97-2
2025-09-09 17:41:08 status not-installed libhtml-template-perl:all <none>
2025-09-09 17:41:08 status installed libcgi-pm-perl:all 4.63-1
2025-09-09 17:41:08 remove libcgi-pm-perl:all 4.63-1 <none>
2025-09-09 17:41:08 status half-configured libcgi-pm-perl:all 4.63-1
2025-09-09 17:41:08 status half-installed libcgi-pm-perl:all 4.63-1
2025-09-09 17:41:08 status config-files libcgi-pm-perl:all 4.63-1
2025-09-09 17:41:08 status not-installed libcgi-pm-perl:all <none>
2025-09-09 17:41:08 status installed libcolamd2:amd64 1:5.10.1+dfsg-4build1
2025-09-09 17:41:08 remove libcolamd2:amd64 1:5.10.1+dfsg-4build1 <none>
2025-09-09 17:41:08 status half-configured libcolamd2:amd64 1:5.10.1+dfsg-4build1
2025-09-09 17:41:08 status half-installed libcolamd2:amd64 1:5.10.1+dfsg-4build1
2025-09-09 17:41:08 status config-files libcolamd2:amd64 1:5.10.1+dfsg-4build1
2025-09-09 17:41:08 status not-installed libcolamd2:amd64 <none>
2025-09-09 17:41:08 status installed libdmapsharing-4.0-3t64:amd64 3.9.13-2build1
2025-09-09 17:41:08 remove libdmapsharing-4.0-3t64:amd64 3.9.13-2build1 <none>
2025-09-09 17:41:08 status half-configured libdmapsharing-4.0-3t64:amd64 3.9.13-2build1
2025-09-09 17:41:08 status half-installed libdmapsharing-4.0-3t64:amd64 3.9.13-2build1
2025-09-09 17:41:08 status config-files libdmapsharing-4.0-3t64:amd64 3.9.13-2build1
2025-09-09 17:41:08 status not-installed libdmapsharing-4.0-3t64:amd64 <none>
2025-09-09 17:41:08 status installed libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3
2025-09-09 17:41:08 remove libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3 <none>
2025-09-09 17:41:08 status half-configured libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3
2025-09-09 17:41:08 status half-installed libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3
2025-09-09 17:41:08 status config-files libdns-export1110:amd64 1:9.11.19+dfsg-2.1ubuntu3
2025-09-09 17:41:08 status not-installed libdns-export1110:amd64 <none>
2025-09-09 17:41:08 status installed libevent-pthreads-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 remove libevent-pthreads-2.1-7t64:amd64 2.1.12-stable-9ubuntu2 <none>
2025-09-09 17:41:08 status half-configured libevent-pthreads-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 status half-installed libevent-pthreads-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 status config-files libevent-pthreads-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 status not-installed libevent-pthreads-2.1-7t64:amd64 <none>
2025-09-09 17:41:08 status installed libevent-core-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 remove libevent-core-2.1-7t64:amd64 2.1.12-stable-9ubuntu2 <none>
2025-09-09 17:41:08 status half-configured libevent-core-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 status half-installed libevent-core-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 status config-files libevent-core-2.1-7t64:amd64 2.1.12-stable-9ubuntu2
2025-09-09 17:41:08 status not-installed libevent-core-2.1-7t64:amd64 <none>
2025-09-09 17:41:08 status installed libfcgi-bin:amd64 2.4.2-2.1ubuntu0.24.04.1
